date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
3/1/2021,CO,5952,5218,1,734,23550,23550,427,74,,,2175502,2874,358510,,,,,429839,406219,1536,0,59574,,,,,,6229855,13654,6229855,13654,420020,,,,2581721,4366,,0
3/1/2021,CT,7651,6280,29,1371,,,417,0,,,,0,,,6074561,,,282626,263448,2680,0,,21643,,,320670,,,0,6403426,104149,,381930,,,,0,6403426,104149
3/1/2021,DC,1019,,2,,,,168,0,,46,,0,,,,,25,40684,,86,0,,,,,,29019,1231593,3234,1231593,3234,,,,,436243,575,,0
3/1/2021,DE,1422,1286,0,136,,,151,0,,23,539551,907,,,,,,87080,82476,281,0,,,,,90549,,1400454,4870,1400454,4870,,,,,626631,1188,,0
3/1/2021,FL,31556,,150,,80659,80659,3686,87,,,9192789,7255,847365,803582,16528453,,,1875818,1524995,1664,0,176911,,166506,,2458948,,21784686,22888,21784686,22888,1024780,,970437,,11068607,8919,19078033,22915
3/1/2021,GA,17376,15148,81,2228,56089,56089,2348,50,9132,,,0,,,,,,1008660,819730,2139,0,75711,162411,,,795852,,,0,7215169,13195,477400,1406064,,,,0,7215169,13195
3/1/2021,GU,131,,0,,,,3,0,,2,109867,0,,,,,1,7737,7528,1,0,24,248,,,,7564,,0,117604,1,352,9111,,,,0,117392,0
3/1/2021,HI,439,439,0,,2214,2214,31,0,,3,,0,,,,,3,28355,27588,29,0,,,,,27477,,1117157,4179,1117157,4179,,,,,,0,,0
3/1/2021,IA,5472,,1,,,,197,0,,48,1035119,1329,,93389,2392446,,15,280279,280279,240,0,,59842,18571,56368,304008,315443,,0,1315398,1569,,1346025,112011,242163,1317777,1562,2711184,4675
3/1/2021,ID,1860,1634,0,226,7076,7076,162,0,1231,35,500096,0,,,,,,171140,138823,0,0,,,,,,94230,,0,638919,0,,123809,,,638919,0,1083384,0
3/1/2021,IL,22759,20536,24,2223,,,1288,0,,308,,0,,,,,148,1187839,,1143,0,,,,,,,,0,18178487,42234,,,,,,0,18178487,42234
3/1/2021,IN,12595,12162,22,433,42815,42815,763,40,7514,124,2457982,2454,,,,,66,662213,,540,0,,,,,754471,,,0,8035726,14296,,,,,3120195,2994,8035726,14296
3/1/2021,KS,4743,,8,,9290,9290,165,41,2521,43,964803,4003,,,,411,16,294302,,639,0,,,,,,,,0,1259105,4642,,586346,,,1259105,4642,2485181,16491
3/1/2021,KY,4652,4224,15,428,19143,19143,719,42,3976,180,,0,,,,,82,405126,310885,504,0,9686,36741,,,250151,47592,,0,3919142,14575,111352,484384,,,,0,3919142,14575
3/1/2021,LA,9628,8941,20,687,,,629,0,,,5155000,7933,,,,,91,430504,370247,404,0,,,,,,408463,,0,5585504,8337,,453562,,,,0,5525247,8232
3/1/2021,MA,16144,15822,26,322,19444,19444,788,0,,184,4355357,6818,,,,,119,582543,551550,1395,0,,,15162,,659307,494740,,0,16261930,53839,,,154697,561797,4906907,8066,16261930,53839
3/1/2021,MD,7879,7697,10,182,35069,35069,904,69,,235,3003717,4132,,168551,,,,382702,382702,603,0,,,27357,,466972,9669,,0,7906291,19263,,,195908,,3386419,4735,7906291,19263
3/1/2021,ME,703,680,0,23,1529,1529,62,2,,20,,0,14157,,,,8,44762,35230,128,0,845,10272,,,40784,12805,,0,1600443,3345,15014,200605,,,,0,1600443,3345
3/1/2021,MI,16519,15534,11,985,,,893,0,,226,,0,,,9691266,,103,647415,589150,1865,0,,,,,745012,541258,,0,10436278,48387,528838,,,,,0,10436278,48387
3/1/2021,MN,6486,6215,3,271,25727,25727,230,8,5308,47,3015197,6494,,,,,,485230,461527,636,0,,,,,,471647,6934737,18160,6934737,18160,,431055,,,3476724,7018,,0
3/1/2021,MO,7919,,0,,,,1066,0,,212,1859688,2242,125380,,3952312,,125,478416,478416,192,0,24094,81976,,,528222,,,0,4490001,7708,149673,850813,133962,351383,2338104,2434,4490001,7708
3/1/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,0,0,,,,,,29,,0,17572,0,,,,,17542,0,26131,0
3/1/2021,MS,6681,4672,0,2009,9012,9012,455,0,,111,1459374,23188,,,,,65,294994,182974,199,0,,,,,,273437,,0,1754368,23387,81986,748339,,,,0,1642348,25168
3/1/2021,MT,1357,,0,,4584,4584,68,3,,13,,0,,,,,6,100003,95472,49,0,,,,,,97037,,0,1079671,1683,,,,,,0,1079671,1683
3/1/2021,NC,11254,9959,42,1295,,,1319,0,,333,,0,,,,,,862170,752406,3622,0,,,,,,,,0,9525274,25289,,766208,,,,0,9525274,25289
3/1/2021,ND,1475,,3,,3871,3871,25,4,565,3,305019,68,,,,,,99852,94623,43,0,,,,,,97836,1410827,1212,1410827,1212,,144401,,,404871,111,1516683,1648
3/1/2021,NE,2082,,0,,6106,6106,158,4,,,764460,456,,,2137624,,,200946,,98,0,,,,,233457,155333,,0,2373731,2529,,,,,965935,556,2373731,2529
3/1/2021,NH,1170,,0,,1118,1118,90,0,345,,575922,-681,,,,,,75588,53204,164,0,,,,,,72055,,0,1461579,2829,39325,194993,37723,,629126,-563,1461579,2829
3/1/2021,NJ,23273,20942,21,2331,63777,63777,1865,64,,387,9868082,0,,,,,226,792496,704362,3140,0,,,,,,,,0,10660578,3140,,,,,,0,10567646,0
3/1/2021,NM,3729,,13,,13127,13127,186,19,,,,0,,,,,,185297,,165,0,,,,,,147446,,0,2699792,6331,,,,,,0,2699792,6331
3/1/2021,NV,4957,,0,,,,464,0,,105,1119425,2196,,,,,56,293980,293980,226,0,,,,,,,2725701,6482,2725701,6482,,,,,1413405,2422,,0
3/1/2021,NY,38577,,80,,,,5307,0,,1065,,0,,,,,741,1636680,,6235,0,,,,,,,38281073,174158,38281073,174158,,,,,,0,,0
3/1/2021,OH,17346,14752,49,2594,50382,50382,1181,103,7148,295,,0,,,,,224,968847,830282,1425,0,,84593,,,858743,911474,,0,10056602,26079,,1700473,,,,0,10056602,26079
3/1/2021,OK,4478,,50,,23995,23995,484,10,,150,3084829,0,,,3084829,,,424888,,380,0,21760,,,,386563,407665,,0,3509717,380,148204,,,,,0,3483450,12058
3/1/2021,OR,2208,,0,,8570,8570,177,0,,35,,0,,,3361555,,16,155597,,282,0,,,,,202565,,,0,3564120,0,,,,,,0,3564120,0
3/1/2021,PA,24026,,5,,,,1715,0,,366,3889842,5256,,,,,203,933270,803009,1628,0,,,,,,849275,10443158,64369,10443158,64369,,,,,4692851,6520,,0
3/1/2021,PR,2037,1733,1,304,,,155,0,,23,305972,0,,,395291,,23,100584,92708,287,0,82090,,,,20103,90891,,0,406556,287,,,,,,0,415664,0
3/1/2021,RI,2517,,3,,8947,8947,162,47,,28,669132,690,,,2860484,,18,126588,,152,0,,,,,150827,,3011311,5788,3011311,5788,,,,,795720,842,,0
3/1/2021,SC,8562,7592,32,970,20406,20406,725,19,,194,4535334,24419,105661,,4406533,,88,517976,444991,1153,0,27409,108193,,,573792,230793,,0,5053310,25572,133070,867036,,,,0,4980325,25203
3/1/2021,SD,1888,,0,,6632,6632,92,6,,15,310347,225,,,,,7,112470,99873,43,0,,,,,105054,108664,,0,692321,629,,,,,422817,268,692321,629
3/1/2021,TN,11421,9181,10,2240,18620,18620,1009,15,,257,,0,,,6040778,,127,775693,649664,689,0,,137917,,,749192,750755,,0,6789970,9109,,1372301,,,,0,6789970,9109
3/1/2021,TX,42995,,59,,,,5611,0,,1747,,0,,,,,,2647845,2292097,3821,0,153078,199506,,,2604373,2429453,,0,19595211,37529,1016619,2481635,,,,0,19595211,37529
3/1/2021,UT,1940,,5,,14724,14724,238,29,2309,89,1538003,2400,,,2515715,813,,371492,,257,0,,58884,,56440,343473,352814,,0,2859188,5273,,954594,,356517,1852407,2642,2859188,5273
3/1/2021,VA,8783,7530,231,1253,24158,24158,1321,43,,295,,0,,,,,196,577174,454735,1124,0,28067,122040,,,555429,,5915914,13192,5915914,13192,221809,1384143,,,,0,,0
3/1/2021,VI,25,,0,,,,,0,,,45225,0,,,,,,2646,,0,0,,,,,,2511,,0,47871,0,,,,,47981,0,,0
3/1/2021,VT,205,,1,,,,29,0,,8,316758,880,,,,,,15284,14847,86,0,,,,,,12626,,0,1076259,7960,,,,,331605,965,1076259,7960
3/1/2021,WA,4956,,0,,19319,19319,498,0,,135,,0,,,4913062,,58,339773,321079,0,0,,,,,321014,,5234432,0,5234432,0,,,,,,0,,0
3/1/2021,WI,7014,6412,0,602,26158,26158,287,31,2256,73,2629622,2826,,,,,,617700,564268,333,0,,,,,,550280,6921918,15040,6921918,15040,,,,,3193890,3134,,0
3/1/2021,WV,2300,1955,0,345,,,225,0,,59,,0,,,,,30,132048,105464,193,0,,,,,,122751,,0,2181927,4330,32608,,,,,0,2181927,4330
3/1/2021,WY,671,,0,,1384,1384,28,2,,,181196,370,,,594005,,,54471,46147,77,0,,,,,38827,53248,,0,640594,3878,,,,,227343,473,640594,3878
2/28/2021,AK,290,,0,,1277,1277,43,0,,,,0,,,1610023,,5,55989,,0,0,,,,,67580,,,0,1679675,0,,,,,,0,1679675,0
2/28/2021,AL,9929,7787,-1,2142,45428,45428,657,0,2650,,1903691,2776,,,,1508,,493252,386525,569,0,,,,,,285130,,0,2290216,3265,,,117548,,2290216,3265,,0
2/28/2021,AR,5243,4251,-174,992,14763,14763,455,0,,183,2441857,51991,,,2441857,1520,85,322415,254030,3220,0,,,,80979,,312758,,0,2695887,53995,,,,462977,,0,2695887,53995
2/28/2021,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
2/28/2021,AZ,15980,14099,13,1881,57599,57599,1251,91,,402,2996831,9935,,,,,210,816782,761668,1075,0,,,,,,,,0,7663423,40030,575378,,438754,,3758499,10924,7663423,40030
2/28/2021,CA,51979,,158,,,,5674,0,,1585,,0,,,,,,3475562,3475562,4685,0,,,,,,,,0,48469106,249616,,,,,,0,48469106,249616
2/28/2021,CO,5951,5217,6,734,23476,23476,404,17,,,2172628,4673,357344,,,,,428303,404727,841,0,59306,,,,,,6216201,25679,6216201,25679,418084,,,,2577355,5467,,0
2/28/2021,CT,7622,6254,0,1368,,,451,0,,,,0,,,5973606,,,279946,261052,0,0,,21235,,,317614,,,0,6299277,0,,371931,,,,0,6299277,0
2/28/2021,DC,1017,,7,,,,163,0,,45,,0,,,,,26,40598,,120,0,,,,,,28881,1228359,6796,1228359,6796,,,,,435668,1288,,0
2/28/2021,DE,1422,1286,4,136,,,142,0,,22,538644,1037,,,,,,86799,82218,282,0,,,,,90267,,1395584,8220,1395584,8220,,,,,625443,1319,,0
2/28/2021,FL,31406,,126,,80572,80572,3679,105,,,9185534,22572,847365,803582,16508139,,,1874154,1523359,5385,0,176911,,166506,,2456389,,21761798,77453,21761798,77453,1024780,,970437,,11059688,27957,19055118,64408
2/28/2021,GA,17295,15068,1,2227,56039,56039,2341,76,9126,,,0,,,,,,1006521,818516,2334,0,75407,161352,,,794784,,,0,7201974,19980,476724,1397752,,,,0,7201974,19980
2/28/2021,GU,131,,0,,,,4,0,,1,109867,0,,,,,1,7736,7527,1,0,24,248,,,,7564,,0,117603,1,352,9111,,,,0,117392,0
2/28/2021,HI,439,439,0,,2214,2214,30,0,,3,,0,,,,,3,28326,27559,56,0,,,,,27437,,1112978,5461,1112978,5461,,,,,,0,,0
2/28/2021,IA,5471,,1,,,,196,0,,50,1033790,1527,,93338,2388052,,19,280039,280039,295,0,,59760,18549,56292,303738,315134,,0,1313829,1822,,1343678,111938,241907,1316215,1822,2706509,5093
2/28/2021,ID,1860,1634,1,226,7076,7076,162,11,1231,35,500096,865,,,,,,171140,138823,233,0,,,,,,94230,,0,638919,1036,,123809,,,638919,1036,1083384,2676
2/28/2021,IL,22735,20516,25,2219,,,1265,0,,303,,0,,,,,150,1186696,,1249,0,,,,,,,,0,18136253,66500,,,,,,0,18136253,66500
2/28/2021,IN,12573,12142,17,431,42775,42775,778,39,7508,116,2455528,4296,,,,,67,661673,,731,0,,,,,753811,,,0,8021430,31476,,,,,3117201,5027,8021430,31476
2/28/2021,KS,4735,,0,,9249,9249,258,0,2510,63,960800,0,,,,411,29,293663,,0,0,,,,,,,,0,1254463,0,,580453,,,1254463,0,2468690,0
2/28/2021,KY,4637,4209,12,428,19101,19101,732,11,3970,187,,0,,,,,118,404622,310481,675,0,9607,36671,,,249554,47544,,0,3904567,0,111128,482091,,,,0,3904567,0
2/28/2021,LA,9608,8923,21,685,,,630,0,,,5147067,30981,,,,,91,430100,369948,1508,0,,,,,,408463,,0,5577167,32489,,452263,,,,0,5517015,32027
2/28/2021,MA,16118,15796,51,322,19444,19444,760,0,,183,4348539,8459,,,,,124,581148,550302,1468,0,,,15162,,657840,494740,,0,16208091,102571,,,154697,559897,4898841,9887,16208091,102571
2/28/2021,MD,7869,7687,13,182,35000,35000,868,73,,240,2999585,6487,,168551,,,,382099,382099,827,0,,,27357,,466224,9667,,0,7887028,38783,,,195908,,3381684,7314,7887028,38783
2/28/2021,ME,703,681,1,22,1527,1527,72,2,,24,,0,14120,,,,8,44634,35158,142,0,815,10209,,,40699,12800,,0,1597098,8594,14947,199400,,,,0,1597098,8594
2/28/2021,MI,16508,15522,0,986,,,841,0,,195,,0,,,9644816,,93,645550,587581,0,0,,,,,743075,541258,,0,10387891,0,527911,,,,,0,10387891,0
2/28/2021,MN,6483,6212,8,271,25719,25719,263,5,5306,60,3008703,9667,,,,,,484594,461003,804,0,,,,,,470819,6916577,24903,6916577,24903,,429880,,,3469706,10325,,0
2/28/2021,MO,7919,,-1,,,,1172,0,,229,1857446,2656,125310,,3944835,,136,478224,478224,274,0,24065,81826,,,528004,,,0,4482293,9471,149574,849069,133890,350335,2335670,2930,4482293,9471
2/28/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,0,0,,,,,,29,,0,17572,0,,,,,17542,0,26131,0
2/28/2021,MS,6681,4672,12,2009,9012,9012,492,0,,114,1436186,0,,,,,69,294795,182857,704,0,,,,,,273437,,0,1730981,704,80525,728148,,,,0,1617180,0
2/28/2021,MT,1357,,1,,4581,4581,68,2,,13,,0,,,,,6,99954,95430,117,0,,,,,,96982,,0,1077988,3551,,,,,,0,1077988,3551
2/28/2021,NC,11212,9922,0,1290,,,1414,0,,348,,0,,,,,,858548,749388,0,0,,,,,,,,0,9499985,36576,,759541,,,,0,9499985,36576
2/28/2021,ND,1472,,0,,3867,3867,21,1,565,3,304951,141,,,,,,99809,94590,29,0,,,,,,97759,1409615,529,1409615,529,,144077,,,404760,170,1515035,690
2/28/2021,NE,2082,,0,,6102,6102,151,3,,,764004,598,,,2135250,,,200848,,167,0,,,,,233302,154909,,0,2371202,5076,,,,,965379,767,2371202,5076
2/28/2021,NH,1170,,0,,1118,1118,87,4,345,,576603,157,,,,,,75424,53086,258,0,,,,,,71722,,0,1458750,7065,39290,194085,37687,,629689,363,1458750,7065
2/28/2021,NJ,23252,20921,14,2331,63713,63713,1849,49,,393,9868082,0,,,,,229,789356,701725,2389,0,,,,,,,,0,10657438,2389,,,,,,0,10567646,0
2/28/2021,NM,3716,,16,,13108,13108,192,11,,,,0,,,,,,185132,,244,0,,,,,,146013,,0,2693461,12078,,,,,,0,2693461,12078
2/28/2021,NV,4957,,0,,,,491,0,,115,1117229,1870,,,,,67,293754,293754,266,0,,,,,,,2719219,6710,2719219,6710,,,,,1410983,2136,,0
2/28/2021,NY,38497,,90,,,,5259,0,,1083,,0,,,,,728,1630445,,7580,0,,,,,,,38106915,273720,38106915,273720,,,,,,0,,0
2/28/2021,OH,17297,14709,60,2588,50279,50279,1149,82,7134,316,,0,,,,,203,967422,829430,1268,0,,84337,,,857692,909524,,0,10030523,36196,,1696378,,,,0,10030523,36196
2/28/2021,OK,4428,,49,,23985,23985,484,76,,150,3084829,0,,,3084829,,,424508,,706,0,21760,,,,386563,407312,,0,3509337,706,148204,,,,,0,3471392,0
2/28/2021,OR,2208,,2,,8570,8570,177,0,,35,,0,,,3361555,,16,155315,,437,0,,,,,202565,,,0,3564120,0,,,,,,0,3564120,0
2/28/2021,PA,24021,,84,,,,1720,0,,374,3884586,8370,,,,,211,931642,801745,1945,0,,,,,,836727,10378789,0,10378789,0,,,,,4686331,10075,,0
2/28/2021,PR,2036,1733,4,303,,,150,0,,25,305972,0,,,395291,,20,100297,92469,253,0,81239,,,,20103,90896,,0,406269,253,,,,,,0,415664,0
2/28/2021,RI,2514,,2,,8900,8900,168,0,,34,668442,1637,,,2854878,,19,126436,,343,0,,,,,150645,,3005523,15080,3005523,15080,,,,,794878,1980,,0
2/28/2021,SC,8530,7578,32,952,20387,20387,769,47,,203,4510915,25527,105429,,4382363,,97,516823,444207,1751,0,27243,107862,,,572759,230793,,0,5027738,27278,132672,862952,,,,0,4955122,26777
2/28/2021,SD,1888,,2,,6626,6626,89,16,,15,310122,388,,,,,9,112427,99836,134,0,,,,,104997,108606,,0,691692,1353,,,,,422549,522,691692,1353
2/28/2021,TN,11411,9170,18,2241,18605,18605,1004,19,,255,,0,,,6032229,,134,775004,649166,1117,0,,137689,,,748632,749863,,0,6780861,11423,,1369842,,,,0,6780861,11423
2/28/2021,TX,42936,,197,,,,5696,0,,1740,,0,,,,,,2644024,2287135,3815,0,152353,199343,,,2600487,2422369,,0,19557682,68999,1014806,2477824,,,,0,19557682,68999
2/28/2021,UT,1935,,6,,14695,14695,230,31,2308,84,1535603,3044,,,2510726,813,,371235,,465,0,,58863,,56419,343189,352303,,0,2853915,6209,,953350,,356026,1849765,3360,2853915,6209
2/28/2021,VA,8552,7334,170,1218,24115,24115,1323,24,,295,,0,,,,,180,576050,453932,1736,0,27946,121752,,,554480,,5902722,23722,5902722,23722,221493,1380463,,,,0,,0
2/28/2021,VI,25,,0,,,,,0,,,45225,0,,,,,,2646,,0,0,,,,,,2511,,0,47871,0,,,,,47981,0,,0
2/28/2021,VT,204,,0,,,,26,0,,8,315878,647,,,,,,15198,14762,100,0,,,,,,12532,,0,1068299,8593,,,,,330640,742,1068299,8593
2/28/2021,WA,4956,,0,,19319,19319,498,44,,135,,0,,,4913062,,58,339773,321079,951,0,,,,,321014,,5234432,21008,5234432,21008,,,,,,0,,0
2/28/2021,WI,7014,6412,0,602,26127,26127,290,39,2254,73,2626796,3298,,,,,,617367,563960,481,0,,,,,,549668,6906878,20046,6906878,20046,,,,,3190756,3762,,0
2/28/2021,WV,2300,1955,3,345,,,239,0,,65,,0,,,,,34,131855,105325,275,0,,,,,,121797,,0,2177597,11017,32546,,,,,0,2177597,11017
2/28/2021,WY,671,,0,,1382,1382,25,1,,,180826,0,,,590006,,,54394,46076,44,0,,,,,38734,53132,,0,636716,0,,,,,226870,0,636716,0
2/27/2021,AK,290,,0,,1277,1277,43,0,,,,0,,,1610023,,5,55989,,0,0,,,,,67580,,,0,1679675,0,,,,,,0,1679675,0
2/27/2021,AL,9930,7787,61,2143,45428,45428,622,0,2650,,1900915,4496,,,,1508,,492683,386036,834,0,,,,,,285130,,0,2286951,5303,,,117249,,2286951,5303,,0
2/27/2021,AR,5417,4357,10,1060,14763,14763,475,16,,172,2389866,7238,,,2389866,1520,97,319195,252026,557,0,,,,78818,,309268,,0,2641892,7553,,,,445973,,0,2641892,7553
2/27/2021,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0
2/27/2021,AZ,15967,14091,70,1876,57508,57508,1317,48,,415,2986896,6455,,,,,220,815707,760679,1179,0,,,,,,,,0,7623393,26841,574247,,438011,,3747575,7508,7623393,26841
2/27/2021,CA,51821,,439,,,,5897,0,,1651,,0,,,,,,3470877,3470877,5151,0,,,,,,,,0,48219490,223914,,,,,,0,48219490,223914
2/27/2021,CO,5945,5211,5,734,23459,23459,393,21,,,2167955,5022,354803,,,,,427462,403933,1264,0,58749,,,,,,6190522,31219,6190522,31219,416650,,,,2571888,6096,,0
2/27/2021,CT,7622,6254,0,1368,,,451,0,,,,0,,,5973606,,,279946,261052,0,0,,21235,,,317614,,,0,6299277,0,,371931,,,,0,6299277,0
2/27/2021,DC,1010,,1,,,,171,0,,49,,0,,,,,26,40478,,194,0,,,,,,28842,1221563,6232,1221563,6232,,,,,434380,1174,,0
2/27/2021,DE,1418,1283,0,135,,,159,0,,22,537607,1425,,,,,,86517,81952,419,0,,,,,89959,,1387364,9562,1387364,9562,,,,,624124,1844,,0
2/27/2021,FL,31280,,118,,80467,80467,3728,229,,,9162962,25314,847365,803582,16451917,,,1868769,1519444,5316,0,176911,,166506,,2448448,,21684345,90722,21684345,90722,1024780,,970437,,11031731,30630,18990710,68213
2/27/2021,GA,17294,15067,75,2227,55963,55963,2405,185,9115,,,0,,,,,,1004187,816973,3365,0,74913,160451,,,793286,,,0,7181994,28470,475609,1390595,,,,0,7181994,28470
2/27/2021,GU,131,,1,,,,4,0,,1,109867,0,,,,,1,7735,7526,1,0,24,248,,,,7564,,0,117602,1,352,9111,,,,0,117392,0
2/27/2021,HI,439,439,2,,2214,2214,30,0,,3,,0,,,,,3,28270,27503,104,0,,,,,27366,,1107517,22034,1107517,22034,,,,,,0,,0
2/27/2021,IA,5470,,7,,,,181,0,,43,1032263,1273,,93328,2383385,,18,279744,279744,315,0,,59727,18534,56264,303407,314750,,0,1312007,1588,,1342398,111913,241787,1314393,1586,2701416,5674
2/27/2021,ID,1859,1633,9,226,7065,7065,162,8,1229,35,499231,1131,,,,,,170907,138652,312,0,,,,,,93975,,0,637883,1350,,123809,,,637883,1350,1080708,5452
2/27/2021,IL,22710,20494,35,2216,,,1353,0,,312,,0,,,,,160,1185447,,1780,0,,,,,,,,0,18069753,81668,,,,,,0,18069753,81668
2/27/2021,IN,12556,12125,25,431,42736,42736,800,28,7497,138,2451232,4877,,,,,73,660942,,871,0,,,,,752905,,,0,7989954,47002,,,,,3112174,5748,7989954,47002
2/27/2021,KS,4735,,0,,9249,9249,258,0,2510,63,960800,0,,,,411,29,293663,,0,0,,,,,,,,0,1254463,0,,580453,,,1254463,0,2468690,0
2/27/2021,KY,4625,4199,25,426,19090,19090,765,109,3968,209,,0,,,,,87,403947,310029,1021,0,9607,36671,,,249554,47525,,0,3904567,12866,111128,482091,,,,0,3904567,12866
2/27/2021,LA,9587,8906,0,681,,,651,0,,,5116086,0,,,,,95,428592,368902,0,0,,,,,,408463,,0,5544678,0,,446071,,,,0,5484988,0
2/27/2021,MA,16067,15744,43,323,19444,19444,785,0,,204,4340080,8439,,,,,139,579680,548874,1700,0,,,15162,,656217,494740,,0,16105520,108261,,,154697,557826,4888954,9955,16105520,108261
2/27/2021,MD,7856,7674,18,182,34927,34927,892,79,,222,2993098,6547,,168551,,,,381272,381272,836,0,,,27357,,465175,9659,,0,7848245,44150,,,195908,,3374370,7383,7848245,44150
2/27/2021,ME,702,680,1,22,1525,1525,74,6,,24,,0,14120,,,,8,44492,35058,197,0,815,10146,,,40576,12798,,0,1588504,8529,14947,197763,,,,0,1588504,8529
2/27/2021,MI,16508,15522,70,986,,,841,0,,195,,0,,,9644816,,93,645550,587581,1425,0,,,,,743075,541258,,0,10387891,36981,527911,,,,,0,10387891,36981
2/27/2021,MN,6475,6204,13,271,25714,25714,263,31,5304,60,2999036,5472,,,,,,483790,460345,812,0,,,,,,469959,6891674,24763,6891674,24763,,425249,,,3459381,6167,,0
2/27/2021,MO,7920,,7,,,,1209,0,,238,1854790,3065,125105,,3935700,,150,477950,477950,478,0,23974,81593,,,527680,,,0,4472822,13647,149277,845921,133672,348751,2332740,3543,4472822,13647
2/27/2021,MP,2,2,0,,4,4,,0,,,17429,0,,,,,,143,143,0,0,,,,,,29,,0,17572,0,,,,,17542,0,26131,0
2/27/2021,MS,6669,4667,31,2002,9012,9012,492,0,,114,1436186,0,,,,,69,294091,182631,549,0,,,,,,273437,,0,1730277,549,80525,728148,,,,0,1617180,0
2/27/2021,MT,1356,,2,,4579,4579,68,8,,13,,0,,,,,6,99837,95360,224,0,,,,,,96724,,0,1074437,4473,,,,,,0,1074437,4473
2/27/2021,NC,11212,9922,26,1290,,,1414,0,,348,,0,,,,,,858548,749388,2643,0,,,,,,,,0,9463409,40943,,759541,,,,0,9463409,40943
2/27/2021,ND,1472,,0,,3866,3866,21,2,565,3,304810,463,,,,,,99780,94576,69,0,,,,,,97678,1409086,1967,1409086,1967,,143485,,,404590,532,1514345,2611
2/27/2021,NE,2082,,4,,6099,6099,154,11,,,763406,1160,,,2130434,,,200681,,278,0,,,,,233075,154339,,0,2366126,9331,,,,,964612,1442,2366126,9331
2/27/2021,NH,1170,,3,,1114,1114,93,5,345,,576446,986,,,,,,75166,52880,273,0,,,,,,71324,,0,1451685,15017,39267,193551,37668,,629326,1184,1451685,15017
2/27/2021,NJ,23238,20907,46,2331,63664,63664,1919,104,,404,9868082,60415,,,,,248,786967,699564,4134,0,,,,,,,,0,10655049,64549,,,,,,0,10567646,63979
2/27/2021,NM,3700,,15,,13097,13097,227,18,,,,0,,,,,,184888,,152,0,,,,,,143774,,0,2681383,11818,,,,,,0,2681383,11818
2/27/2021,NV,4957,,15,,,,491,0,,115,1115359,419,,,,,67,293488,293488,459,0,,,,,,,2712509,9597,2712509,9597,,,,,1408847,878,,0
2/27/2021,NY,38407,,86,,,,5445,0,,1121,,0,,,,,753,1622865,,8141,0,,,,,,,37833195,285307,37833195,285307,,,,,,0,,0
2/27/2021,OH,17237,14660,54,2577,50197,50197,1204,79,7130,313,,0,,,,,201,966154,828470,1774,0,,83949,,,856671,907410,,0,9994327,54040,,1686131,,,,0,9994327,54040
2/27/2021,OK,4379,,59,,23909,23909,484,30,,150,3084829,6841,,,3084829,,,423802,,779,0,21760,,,,386563,406494,,0,3508631,7620,148204,,,,,0,3471392,-3314
2/27/2021,OR,2206,,2,,8570,8570,177,19,,35,,0,,,3361555,,16,154878,,324,0,,,,,202565,,,0,3564120,17803,,,,,,0,3564120,17803
2/27/2021,PA,23937,,0,,,,1785,0,,386,3876216,12281,,,,,209,929697,800040,3361,0,,,,,,836727,10378789,65055,10378789,65055,,,,,4676256,15011,,0
2/27/2021,PR,2032,1729,9,303,,,174,0,,30,305972,0,,,395291,,19,100044,92262,184,0,80326,,,,20103,90738,,0,406016,184,,,,,,0,415664,0
2/27/2021,RI,2512,,10,,8900,8900,168,0,,34,666805,1226,,,2840175,,19,126093,,471,0,,,,,150268,,2990443,21802,2990443,21802,,,,,792898,1697,,0
2/27/2021,SC,8498,7546,21,952,20340,20340,865,65,,221,4485388,32242,105088,,4357443,,109,515072,442957,1777,0,27010,107150,,,570902,230793,,0,5000460,34019,132098,855067,,,,0,4928345,33502
2/27/2021,SD,1886,,7,,6610,6610,91,19,,22,309734,553,,,,,10,112293,99744,186,0,,,,,104876,108497,,0,690339,1664,,,,,422027,739,690339,1664
2/27/2021,TN,11393,9152,16,2241,18586,18586,1038,33,,251,,0,,,6021579,,124,773887,648472,1374,0,,137259,,,747859,748739,,0,6769438,15679,,1366306,,,,0,6769438,15679
